Country Name,Average CO2 emissions from solid fuel consumption (% of total)
Aruba,0
Africa Eastern and Southern,81.51732609
Afghanistan,20.3921411
Africa Western and Central,2.3533012
Angola,1.410487738
Albania,20.208294
Andorra,0
Arab World,1.718285163
United Arab Emirates,0.4324444
Argentina,2.961132067
Armenia,0.539238844
American Samoa,
Antigua and Barbuda,0
Australia,54.45861448
Austria,27.42636102
Azerbaijan,0.031395276
Burundi,4.437567275
Belgium,32.54674283
Benin,0.169180201
Burkina Faso,0
Bangladesh,10.49861068
Bulgaria,56.21224641
Bahrain,0.050213471
"Bahamas, The",0.169599397
Bosnia and Herzegovina,69.84001726
Belarus,5.790456695
Belize,0
Bermuda,0.026666667
Bolivia,0.061346059
Brazil,13.94694975
Barbados,0.138240742
Brunei Darussalam,0.000934676
Bhutan,20.47842535
Botswana,70.86951722
Central African Republic,0
Canada,19.77110266
Central Europe and the Baltics,62.5736599
Switzerland,5.06822146
Channel Islands,
Chile,24.16744555
China,81.03009483
Cote d'Ivoire,0
Cameroon,0.156925773
"Congo, Dem. Rep.",15.65562374
"Congo, Rep.",0
Colombia,23.7616393
Comoros,0
Cabo Verde,0
Costa Rica,1.055797922
Caribbean small states,0.358435438
Cuba,0.729583321
Curacao,
Cayman Islands,0
Cyprus,1.301952835
Czech Republic,66.89465418
Germany,40.56754822
Djibouti,0
Dominica,0
Denmark,32.52948122
Dominican Republic,3.644367854
Algeria,3.414936001
East Asia & Pacific (excluding high income),73.14342636
Early-demographic dividend,31.72396957
East Asia & Pacific,59.29948278
Europe & Central Asia (excluding high income),40.23415074
Europe & Central Asia,39.00510189
Ecuador,0
"Egypt, Arab Rep.",3.487902493
Euro area,28.17577507
Eritrea,0
Spain,29.71437972
Estonia,79.90965529
Ethiopia,1.525811394
European Union,37.04180632
Fragile and conflict affected situations,3.861435611
Finland,34.45701257
Fiji,3.980214658
France,24.98621923
Faroe Islands,1.722562826
"Micronesia, Fed. Sts.",0
Gabon,0
United Kingdom,41.35875807
Georgia,6.625620402
Ghana,1.412918568
Gibraltar,0.682539683
Guinea,0
"Gambia, The",0
Guinea-Bissau,0
Equatorial Guinea,0
Greece,34.36094217
Grenada,0
Greenland,12.96584718
Guatemala,3.718197176
Guam,
Guyana,0
High income,33.01269246
"Hong Kong SAR, China",15.13008737
Honduras,1.812158636
Heavily indebted poor countries (HIPC),7.290077694
Croatia,10.28043333
Haiti,1.801915515
Hungary,41.94779573
IBRD only,51.86113935
IDA & IBRD total,50.50028058
IDA total,11.38982636
IDA blend,13.22914911
Indonesia,11.90168314
IDA only,9.058001331
Isle of Man,
India,70.45391142
Not classified,
Ireland,34.64335851
"Iran, Islamic Rep.",1.480399749
Iraq,0.010576588
Iceland,9.217250276
Israel,23.72123709
Italy,13.10919945
Jamaica,0.973259887
Jordan,0.259093516
Japan,32.19640699
Kazakhstan,63.89491849
Kenya,4.646345653
Kyrgyz Republic,38.53229794
Cambodia,3.181957428
